단축코드,한글명,그룹코드,시장
003200,일신방직,ST,코스피
003220,대원제약,ST,코스피
003230,삼양식품,ST,코스피
003240,태광산업,ST,코스피
003280,흥아해운,ST,코스피
003300,한일홀딩스,ST,코스피
003350,한국화장품제조,ST,코스피
003410,쌍용C&E,ST,코스피
003460,유화증권,ST,코스피
003465,유화증권우,ST,코스피
003470,유안타증권,ST,코스피
003475,유안타증권우,ST,코스피
003480,한진중공업홀딩스,ST,코스피
003490,대한항공,ST,코스피
003495,대한항공우,ST,코스피
003520,영진약품,ST,코스피
003530,한화투자증권,ST,코스피
003535,한화투자증권우,ST,코스피
003540,대신증권,ST,코스피
003545,대신증권우,ST,코스피
003547,대신증권2우B,ST,코스피
003550,LG,ST,코스피
003555,LG우,ST,코스피
003560,IHQ,ST,코스피
003570,SNT다이내믹스,ST,코스피
003580,HLB글로벌,ST,코스피
003610,방림,ST,코스피
003620,KG모빌리티,ST,코스피
003650,미창석유,ST,코스피
003670,포스코퓨처엠,ST,코스피
003680,한성기업,ST,코스피
003690,코리안리,ST,코스피
003720,삼영,ST,코스피
003780,진양산업,ST,코스피
003830,대한화섬,ST,코스피
003850,보령,ST,코스피
003920,남양유업,ST,코스피
003925,남양유업우,ST,코스피
003960,사조대림,ST,코스피
004000,롯데정밀화학,ST,코스피
004020,현대제철,ST,코스피
004060,SG세계물산,ST,코스피
004080,신흥,ST,코스피
004090,한국석유,ST,코스피
004100,태양금속,ST,코스피
004105,태양금속우,ST,코스피
004140,동방,ST,코스피
004150,한솔홀딩스,ST,코스피
004170,신세계,ST,코스피
004250,NPC,ST,코스피
004255,NPC우,ST,코스피
004270,남성,ST,코스피
004310,현대약품,ST,코스피
004360,세방,ST,코스피
004365,세방우,ST,코스피
004370,농심,ST,코스피
004380,삼익THK,ST,코스피
004410,서울식품,ST,코스피
004415,서울식품우,ST,코스피
004430,송원산업,ST,코스피
004440,삼일씨엔에스,ST,코스피
004450,삼화왕관,ST,코스피
004490,세방전지,ST,코스피
004540,깨끗한나라,ST,코스피
004545,깨끗한나라우,ST,코스피
004560,현대비앤지스틸,ST,코스피
004690,삼천리,ST,코스피
004700,조광피혁,ST,코스피
004710,한솔테크닉스,ST,코스피
004720,팜젠사이언스,ST,코스피
004770,써니전자,ST,코스피
004800,효성,ST,코스피
004830,덕성,ST,코스피
004835,덕성우,ST,코스피
004840,DRB동일,ST,코스피
004870,티웨이홀딩스,ST,코스피
004890,동일산업,ST,코스피
004910,조광페인트,ST,코스피
004920,씨아이테크,ST,코스피
004960,한신공영,ST,코스피
004970,신라교역,ST,코스피
004980,성신양회,ST,코스피
004985,성신양회우,ST,코스피
004990,롯데지주,ST,코스피
00499K,롯데지주우,ST,코스피
005010,휴스틸,ST,코스피
005030,부산주공,ST,코스피
005070,코스모신소재,ST,코스피
005090,SGC에너지,ST,코스피
005110,한창,ST,코스피
005180,빙그레,ST,코스피
005250,녹십자홀딩스,ST,코스피
005257,녹십자홀딩스2우,ST,코스피
005300,롯데칠성,ST,코스피
005305,롯데칠성우,ST,코스피
005320,국동,ST,코스피
005360,모나미,ST,코스피
005380,현대차,ST,코스피
005385,현대차우,ST,코스피
005387,현대차2우B,ST,코스피
005389,현대차3우B,ST,코스피
005390,신성통상,ST,코스피
005420,코스모화학,ST,코스피
005430,한국공항,ST,코스피
005440,현대지에프홀딩스,ST,코스피
005490,POSCO홀딩스,ST,코스피
005500,삼진제약,ST,코스피
005610,SPC삼립,ST,코스피
005680,삼영전자,ST,코스피
005690,파미셀,ST,코스피
005720,넥센,ST,코스피
005725,넥센우,ST,코스피
005740,크라운해태홀딩스,ST,코스피
005745,크라운해태홀딩스우,ST,코스피
005750,대림B&Co,ST,코스피
005800,신영와코루,ST,코스피
005810,풍산홀딩스,ST,코스피
005820,원림,ST,코스피
005830,DB손해보험,ST,코스피
005850,에스엘,ST,코스피
005870,휴니드,ST,코스피
005880,대한해운,ST,코스피
005930,삼성전자,ST,코스피
005935,삼성전자우,ST,코스피
005940,NH투자증권,ST,코스피
005945,NH투자증권우,ST,코스피
005950,이수화학,ST,코스피
005960,동부건설,ST,코스피
005965,동부건설우,ST,코스피
006040,동원산업,ST,코스피
006060,화승인더,ST,코스피
006090,사조오양,ST,코스피
006110,삼아알미늄,ST,코스피
006120,SK디스커버리,ST,코스피
006125,SK디스커버리우,ST,코스피
006200,한국전자홀딩스,ST,코스피
006220,제주은행,ST,코스피
006260,LS,ST,코스피
006280,녹십자,ST,코스피
006340,대원전선,ST,코스피
006345,대원전선우,ST,코스피
006360,GS건설,ST,코스피
006370,대구백화점,ST,코스피
006380,카프로,ST,코스피
006390,한일현대시멘트,ST,코스피
006400,삼성SDI,ST,코스피
006405,삼성SDI우,ST,코스피
006490,인스코비,ST,코스피
006570,대림통상,ST,코스피
006650,대한유화,ST,코스피
006660,삼성공조,ST,코스피
006740,영풍제지,ST,코스피
006800,미래에셋증권,ST,코스피
006805,미래에셋증권우,ST,코스피
00680K,미래에셋증권2우B,ST,코스피
006840,AK홀딩스,ST,코스피
006880,신송홀딩스,ST,코스피
006890,태경케미컬,ST,코스피
006980,우성,ST,코스피
007070,GS리테일,ST,코스피
007110,일신석재,ST,코스피
007120,미래아이앤지,ST,코스피
007160,사조산업,ST,코스피
007210,벽산,ST,코스피
007280,한국특강,ST,코스피
007310,오뚜기,ST,코스피
007340,DN오토모티브,ST,코스피
007460,에이프로젠,ST,코스피
007540,샘표,ST,코스피
007570,일양약품,ST,코스피
007575,일양약품우,ST,코스피
007590,동방아그로,ST,코스피
007610,선도전기,ST,코스피
007660,이수페타시스,ST,코스피
007690,국도화학,ST,코스피
007700,F&F홀딩스,ST,코스피
007810,코리아써키트,ST,코스피
007815,코리아써우,ST,코스피
00781K,코리아써키트2우B,ST,코스피
007860,서연,ST,코스피
007980,태평양물산,ST,코스피
008040,사조동아원,ST,코스피
008060,대덕,ST,코스피
00806K,대덕1우,ST,코스피
008110,대동전자,ST,코스피
008250,이건산업,ST,코스피
008260,NI스틸,ST,코스피
008350,남선알미늄,ST,코스피
008355,남선알미우,ST,코스피
008420,문배철강,ST,코스피
008490,서흥,ST,코스피
008500,일정실업,ST,코스피
008600,윌비스,ST,코스피
008700,아남전자,ST,코스피
008730,율촌화학,ST,코스피
008770,호텔신라,ST,코스피
008775,호텔신라우,ST,코스피
008870,금비,ST,코스피
008930,한미사이언스,ST,코스피
008970,동양철관,ST,코스피
009070,KCTC,ST,코스피
009140,경인전자,ST,코스피
009150,삼성전기,ST,코스피
009155,삼성전기우,ST,코스피
009160,SIMPAC,ST,코스피
009180,한솔로지스틱스,ST,코스피
009190,대양금속,ST,코스피
009200,무림페이퍼,ST,코스피
009240,한샘,ST,코스피
009270,신원,ST,코스피
009290,광동제약,ST,코스피
009310,참엔지니어링,ST,코스피
009320,대우부품,ST,코스피
009410,태영건설,ST,코스피
009415,태영건설우,ST,코스피
009420,한올바이오파마,ST,코스피
009440,KC그린홀딩스,ST,코스피
009450,경동나비엔,ST,코스피
009460,한창제지,ST,코스피
009470,삼화전기,ST,코스피
009540,HD한국조선해양,ST,코스피
009580,무림P&P,ST,코스피
009680,모토닉,ST,코스피
009770,삼정펄프,ST,코스피
009810,플레이그램,ST,코스피
009830,한화솔루션,ST,코스피
009835,한화솔루션우,ST,코스피
009900,명신산업,ST,코스피
009970,영원무역홀딩스,ST,코스피
010040,한국내화,ST,코스피
010060,OCI홀딩스,ST,코스피
010100,한국무브넥스,ST,코스피
010120,LS ELECTRIC,ST,코스피
010130,고려아연,ST,코스피
010140,삼성중공업,ST,코스피
010400,우진아이엔에스,ST,코스피
010420,한솔PNS,ST,코스피
010580,에스엠벡셀,ST,코스피
010600,웰바이오텍,ST,코스피
010620,현대미포조선,ST,코스피
010640,진양폴리,ST,코스피
010660,화천기계,ST,코스피
010690,화신,ST,코스피
010770,평화홀딩스,ST,코스피
010780,아이에스동서,ST,코스피
010820,퍼스텍,ST,코스피
010950,S-Oil,ST,코스피
010955,S-Oil우,ST,코스피
010960,삼호개발,ST,코스피
011000,진원생명과학,ST,코스피
011070,LG이노텍,ST,코스피
011090,에넥스,ST,코스피
011150,CJ씨푸드,ST,코스피
011155,CJ씨푸드1우,ST,코스피
011170,롯데케미칼,ST,코스피
011200,HMM,ST,코스피
011210,현대위아,ST,코스피
011230,삼화전자,ST,코스피
011280,태림포장,ST,코스피
011300,성안,ST,코스피
011330,유니켐,ST,코스피
011390,부산산업,ST,코스피
011420,갤럭시아에스엠,ST,코스피
011500,한농화성,ST,코스피
011690,와이투솔루션,ST,코스피
011700,한신기계,ST,코스피
011760,현대코퍼레이션,ST,코스피
011780,금호석유,ST,코스피
011785,금호석유우,ST,코스피
011790,SKC,ST,코스피
011810,STX,ST,코스피
011930,신성이엔지,ST,코스피
012030,DB,ST,코스피
012160,영흥,ST,코스피
012170,아센디오,ST,코스피
012200,계양전기,ST,코스피
012205,계양전기우,ST,코스피
012280,영화금속,ST,코스피
012320,경동인베스트,ST,코스피
012330,현대모비스,ST,코스피
012450,한화에어로스페이스,ST,코스피
012510,더존비즈온,ST,코스피
012600,청호ICT,ST,코스피
012610,경인양행,ST,코스피
012630,HDC,ST,코스피
012690,모나리자,ST,코스피
012750,에스원,ST,코스피
012800,대창,ST,코스피
013000,세우글로벌,ST,코스피
013360,일성건설,ST,코스피
013520,화승코퍼레이션,ST,코스피
013570,디와이,ST,코스피
013580,계룡건설,ST,코스피
013700,까뮤이앤씨,ST,코스피
013870,지엠비코리아,ST,코스피
013890,지누스,ST,코스피
014130,한익스프레스,ST,코스피
014160,대영포장,ST,코스피
014280,금강공업,ST,코스피
014285,금강공업우,ST,코스피
014440,영보화학,ST,코스피
014530,극동유화,ST,코스피
014580,태경비케이,ST,코스피
014680,한솔케미칼,ST,코스피
014710,사조씨푸드,ST,코스피
014790,HL D&I,ST,코스피
014820,동원시스템즈,ST,코스피
014825,동원시스템즈우,ST,코스피
014830,유니드,ST,코스피
014910,성문전자,ST,코스피
014915,성문전자우,ST,코스피
014990,인디에프,ST,코스피
015020,이스타코,ST,코스피
015230,대창단조,ST,코스피
015260,에이엔피,ST,코스피
015360,예스코홀딩스,ST,코스피
015590,KIB플러그에너지,ST,코스피
015760,한국전력,ST,코스피
015860,일진홀딩스,ST,코스피
015890,태경산업,ST,코스피
016090,대현,ST,코스피
016360,삼성증권,ST,코스피
016380,KG스틸,ST,코스피
016450,한세예스24홀딩스,ST,코스피
016580,환인제약,ST,코스피
016590,신대양제지,ST,코스피
016610,DB금융투자,ST,코스피
016710,대성홀딩스,ST,코스피
016740,두올,ST,코스피
016800,퍼시스,ST,코스피
016880,웅진,ST,코스피
017040,광명전기,ST,코스피
017180,명문제약,ST,코스피
017370,우신시스템,ST,코스피
017390,서울가스,ST,코스피
017550,수산중공업,ST,코스피
017670,SK텔레콤,ST,코스피
017800,현대엘리베이,ST,코스피
017810,풀무원,ST,코스피
017860,DS단석,ST,코스피
017900,광전자,ST,코스피
017940,E1,ST,코스피
017960,한국카본,ST,코스피
018250,애경산업,ST,코스피
018260,삼성에스디에스,ST,코스피
018470,조일알미늄,ST,코스피
018500,동원금속,ST,코스피
018670,SK가스,ST,코스피
018880,한온시스템,ST,코스피
019170,신풍제약,ST,코스피
019175,신풍제약우,ST,코스피
019180,티에이치엔,ST,코스피
019440,세아특수강,ST,코스피
019490,하이트론,ST,코스피
019680,대교,ST,코스피
019685,대교우B,ST,코스피
020000,한섬,ST,코스피
020120,키다리스튜디오,ST,코스피
020150,롯데에너지머티리얼즈,ST,코스피
020560,아시아나항공,ST,코스피
020760,일진디스플,ST,코스피
021050,서원,ST,코스피
021240,코웨이,ST,코스피
021820,세원정공,ST,코스피
022100,포스코DX,ST,코스피
023000,삼원강재,ST,코스피
023150,MH에탄올,ST,코스피
023350,한국종합기술,ST,코스피
023450,동남합성,ST,코스피
023530,롯데쇼핑,ST,코스피
023590,다우기술,ST,코스피
023800,인지컨트롤스,ST,코스피
023810,인팩,ST,코스피
023960,에쓰씨엔지니어링,ST,코스피
024070,WISCOM,ST,코스피
024090,디씨엠,ST,코스피
024110,기업은행,ST,코스피
024720,한국콜마홀딩스,ST,코스피
024890,대원화성,ST,코스피
024900,덕양산업,ST,코스피
025000,KPX케미칼,ST,코스피
025530,SJM홀딩스,ST,코스피
025540,한국단자,ST,코스피
025560,미래산업,ST,코스피
025620,제이준코스메틱,ST,코스피
025750,한솔홈데코,ST,코스피
025820,이구산업,ST,코스피
025860,남해화학,ST,코스피
025890,한국주강,ST,코스피
026890,스틱인베스트먼트,ST,코스피
026940,부국철강,ST,코스피
026960,동서,ST,코스피
027410,BGF,ST,코스피
027740,마니커,ST,코스피
027970,한국제지,ST,코스피
028050,삼성엔지니어링,ST,코스피
028100,동아지질,ST,코스피
028260,삼성물산,ST,코스피
02826K,삼성물산우B,ST,코스피
028670,팬오션,ST,코스피
029460,케이씨,ST,코스피
029530,신도리코,ST,코스피
029780,삼성카드,ST,코스피
030000,제일기획,ST,코스피
030190,NICE평가정보,ST,코스피
030200,KT,ST,코스피
030210,다올투자증권,ST,코스피
030610,교보증권,ST,코스피
030720,동원수산,ST,코스피
030790,비케이탑스,ST,코스피
031430,신세계인터내셔날,ST,코스피
031440,신세계푸드,ST,코스피
031820,콤텍시스템,ST,코스피
032350,롯데관광개발,ST,코스피
032560,황금에스티,ST,코스피
032640,LG유플러스,ST,코스피
032830,삼성생명,ST,코스피
033180,KH 필룩스,ST,코스피
033240,자화전자,ST,코스피
033250,체시스,ST,코스피
033270,유나이티드제약,ST,코스피
033530,세종공업,ST,코스피
033780,KT&G,ST,코스피
033920,무학,ST,코스피
034020,두산에너빌리티,ST,코스피
034120,SBS,ST,코스피
034220,LG디스플레이,ST,코스피
034300,신세계건설,ST,코스피
034310,NICE,ST,코스피
034590,인천도시가스,ST,코스피
034730,SK,ST,코스피
03473K,SK우,ST,코스피
034830,한국토지신탁,ST,코스피
035000,HS애드,ST,코스피
035150,백산,ST,코스피
035250,강원랜드,ST,코스피
035420,NAVER,ST,코스피
035510,신세계 I&C,ST,코스피
035720,카카오,ST,코스피
036420,콘텐트리중앙,ST,코스피
036460,한국가스공사,ST,코스피
036530,SNT홀딩스,ST,코스피
036570,엔씨소프트,ST,코스피
036580,팜스코,ST,코스피
037270,YG PLUS,ST,코스피
037560,LG헬로비전,ST,코스피
037710,광주신세계,ST,코스피
039130,하나투어,ST,코스피
039490,키움증권,ST,코스피
039570,HDC랩스,ST,코스피
041650,상신브레이크,ST,코스피
042660,한화오션,ST,코스피
